gene_id,REF
FUN_009638,
FUN_004543,1-1
FUN_015637,
FUN_006446,1500-1502
FUN_001226,
FUN_010152,
FUN_003323,
FUN_012057,
FUN_015934,
FUN_008554,"506-510,594-594"
FUN_000368,
FUN_004761,
FUN_015784,
FUN_015415,
FUN_008875,"3-5,581-583,3016-3016"
FUN_006664,
FUN_001004,
FUN_001395,
FUN_006967,
FUN_010370,
FUN_008776,
FUN_003101,
FUN_003290,
FUN_004862,
FUN_015887,
FUN_012275,
FUN_009888,
FUN_007699,
FUN_007508,
FUN_007448,2361-2369
FUN_010230,"391-393,814-816,1009-1013,1170-1172"
FUN_006827,3314-3316
FUN_001144,"373-376,392-395"
FUN_008636,
FUN_012335,
FUN_004922,
FUN_003041,
FUN_015555,
FUN_004621,
FUN_008935,
FUN_006724,
FUN_000228,"1-9,1844-1846"
FUN_004730,
FUN_015444,
FUN_008824,
FUN_006635,711-752
FUN_000339,
FUN_007559,
FUN_006936,
FUN_001055,
FUN_010321,1351-1353
FUN_008727,
FUN_004833,
FUN_003150,
FUN_012224,
FUN_010261,232-243
FUN_001115,
FUN_001284,
FUN_006876,
FUN_008667,
FUN_015996,
FUN_012364,
FUN_003010,79-79
FUN_003381,1-9
FUN_004973,
FUN_009999,
FUN_007788,
FUN_007419,
FUN_000279,
FUN_015695,
FUN_015504,
FUN_004670,
FUN_008964,
FUN_006775,
FUN_007409,
FUN_007798,
FUN_009989,
FUN_012374,
FUN_015986,129-129
FUN_004963,
FUN_003391,
FUN_003000,"232-232,271-274"
FUN_008677,
FUN_010271,
FUN_006866,
FUN_001294,885-885
FUN_001105,
FUN_006765,2648-2650
FUN_008974,
FUN_015514,
FUN_015685,
FUN_004660,"1474-1474,16855-16857"
FUN_000269,133-135
FUN_000329,205-206
FUN_006625,
FUN_008834,
FUN_004720,"62-86,124-133"
FUN_015454,
FUN_003140,
FUN_004823,250-252
FUN_012234,
FUN_008737,1762-1765
FUN_001045,
FUN_006926,
FUN_010331,
FUN_007549,
FUN_012325,
FUN_003051,
FUN_004932,
FUN_008626,
FUN_010220,
FUN_001154,
FUN_006837,
FUN_007458,764-775
FUN_000238,
FUN_006734,194-202
FUN_008925,
FUN_015545,
FUN_004631,1-124
FUN_006674,
FUN_008865,
FUN_004771,
FUN_015405,
FUN_015794,
FUN_000378,
FUN_007518,
FUN_007689,"176-213,367-369"
FUN_009898,"314-316,737-742"
FUN_004872,
FUN_003280,
FUN_003111,
FUN_012265,
FUN_015897,
FUN_008766,"18-18,66-67"
FUN_006977,
FUN_001385,
FUN_001014,
FUN_010360,
FUN_006456,
FUN_004553,
FUN_015627,
FUN_009628,
FUN_007839,
FUN_008544,1258-1263
FUN_015924,
FUN_001236,
FUN_010142,
FUN_008795,
FUN_008404,
FUN_012107,
FUN_015864,
FUN_012296,
FUN_003273,
FUN_004881,
FUN_010002,
FUN_010393,333-341
FUN_001376,
FUN_006984,
FUN_009768,
FUN_007979,191-194
FUN_006687,
FUN_006516,1034-1123
FUN_015767,
FUN_004782,
FUN_004413,
FUN_008896,
FUN_009679,
FUN_007868,
FUN_006796,
FUN_006407,
FUN_004693,
FUN_004502,
FUN_015676,
FUN_008987,
FUN_008684,
FUN_008515,1064-1066
FUN_003362,1-3
FUN_004990,
FUN_012016,
FUN_015975,
FUN_012387,
FUN_001267,1265-1383
FUN_006895,
FUN_010113,
FUN_010282,
FUN_008455,"12-12,17-17,964-972"
FUN_015835,
FUN_012156,
FUN_003222,
FUN_010053,41-43
FUN_001327,
FUN_006547,
FUN_015736,
FUN_004442,
FUN_009739,
FUN_007928,"145-163,168-199"
FUN_002249,
FUN_011038,
FUN_006640,
FUN_008851,
FUN_004745,327-332
FUN_015431,
FUN_003125,
FUN_004846,1207-1224
FUN_012251,
FUN_008752,
FUN_001020,
FUN_006943,
FUN_010354,
FUN_016658,
FUN_005429,
FUN_016718,
FUN_016489,
FUN_005569,
FUN_012080,
FUN_012311,
FUN_004906,1-23
FUN_003065,
FUN_008612,
FUN_008583,
FUN_010185,
FUN_010214,
FUN_006803,
FUN_001160,
FUN_006700,93-95
FUN_006491,
FUN_008911,"225-225,542-550"
FUN_015571,
FUN_004605,913-915
FUN_004594,
FUN_002098,
FUN_002309,
FUN_011178,
FUN_006611,
FUN_006580,
FUN_008800,
FUN_004714,
FUN_004485,
FUN_015460,
FUN_002189,
FUN_002218,
FUN_011069,1639-1654
FUN_016609,311-313
FUN_016598,
FUN_005478,
FUN_004817,
FUN_003174,
FUN_012191,
FUN_012200,
FUN_008703,135-135
FUN_008492,
FUN_006912,
FUN_001071,1042-1045
FUN_010094,
FUN_010305,
FUN_012340,
FUN_003034,
FUN_004957,
FUN_008643,2959-2964
FUN_010245,
FUN_001131,
FUN_006852,
FUN_016749,
FUN_005538,964-972
FUN_002358,
FUN_011129,256-267
FUN_006751,
FUN_008940,
FUN_015520,
FUN_004654,40-40
FUN_008461,
FUN_012162,625-626
FUN_015801,
FUN_003216,"5682-5685,6736-6736"
FUN_003187,458-463
FUN_010067,
FUN_001313,
FUN_001082,
FUN_005819,
FUN_006573,
FUN_015493,
FUN_015702,
FUN_004476,2145-2180
FUN_006433,
FUN_004536,
FUN_015642,
FUN_005959,
FUN_008521,
FUN_003356,
FUN_015941,
FUN_001253,
FUN_010127,
FUN_008430,
FUN_015850,
FUN_012133,
FUN_003247,
FUN_010036,
FUN_001342,
FUN_006522,
FUN_015753,
FUN_004427,
FUN_005848,
FUN_005908,
FUN_006462,1195-1195
FUN_004567,
FUN_015582,
FUN_015613,
FUN_008570,
FUN_003307,
FUN_003096,
FUN_012073,
FUN_015910,
FUN_001202,
FUN_001193,
FUN_010176,
FUN_010778,432-439
FUN_003698,
FUN_003509,
FUN_005005,279-281
FUN_005394,
FUN_002966,
FUN_011886,
FUN_016274,
FUN_007100,
FUN_007291,
FUN_000863,
FUN_011785,
FUN_011414,
FUN_000760,
FUN_009012,
FUN_009383,
FUN_002665,
FUN_004369,
FUN_004229,
FUN_000620,"1180-1182,1617-1631,2974-2979,3975-3976,6887-6898,12209-12210,26037-26038,40431-40433"
FUN_011554,
FUN_009152,74-74
FUN_002725,
FUN_002826,
FUN_005145,
FUN_000923,
FUN_007040,
FUN_016334,
FUN_010638,"91-93,910-912,1180-1194"
FUN_003449,
FUN_002937,
FUN_005054,
FUN_016225,
FUN_000832,
FUN_007151,
FUN_010729,
FUN_003558,
FUN_004338,
FUN_011445,
FUN_000731,149-151
FUN_009043,
FUN_000671,
FUN_011505,
FUN_009103,
FUN_009292,
FUN_002774,
FUN_004278,
FUN_010669,
FUN_003789,860-860
FUN_003418,
FUN_005114,"1012-1013,1147-1148"
FUN_005285,
FUN_002877,374-493
FUN_007011,
FUN_007380,"698-751,765-791"
FUN_000972,
FUN_011997,
FUN_016365,
FUN_000453,
FUN_011727,
FUN_002556,
FUN_009321,
FUN_003939,
FUN_005336,232-346
FUN_007233,
FUN_016147,
FUN_011824,
FUN_002884,
FUN_005276,
FUN_016396,
FUN_011964,
FUN_016007,
FUN_000981,
FUN_007373,
FUN_003879,
FUN_010999,66-68
FUN_000682,
FUN_002416,
FUN_002787,
FUN_009261,38-39
FUN_003968,1498-1500
FUN_010888,
FUN_000402,
FUN_000793,3237-3266
FUN_011776,
FUN_002507,
FUN_002696,
FUN_009370,
FUN_002995,
FUN_005367,
FUN_000890,
FUN_007262,
FUN_016287,
FUN_011875,
FUN_016116,41-99
FUN_005227,
FUN_016056,
FUN_011935,
FUN_007322,
FUN_000542,1877-1877
FUN_002447,
FUN_009230,
FUN_003828,
FUN_006349,
FUN_000645,
FUN_011531,
FUN_009137,
FUN_002740,
FUN_002843,
FUN_005120,
FUN_000946,
FUN_007025,
FUN_016351,
FUN_001529,2209-2283
FUN_001469,
FUN_005060,
FUN_002903,
FUN_016211,
FUN_016180,
FUN_007165,"2724-2726,3291-3411"
FUN_000806,
FUN_011471,762-763
FUN_000494,
FUN_000705,
FUN_009077,
FUN_002591,
FUN_002600,
FUN_006209,1252-1266
FUN_006198,1851-1853
FUN_000585,
FUN_000614,
FUN_011560,
FUN_009166,
FUN_002480,
FUN_002711,
FUN_006318,
FUN_006089,
FUN_001578,
FUN_012498,
FUN_005171,"58-81,84-84"
FUN_002812,
FUN_007074,540-541
FUN_000917,
FUN_016300,
FUN_016091,
FUN_002952,
FUN_005031,
FUN_016240,
FUN_000857,
FUN_007134,
FUN_001438,
FUN_006258,130-135
FUN_011420,"3383-3394,3461-3463"
FUN_000754,504-506
FUN_009026,
FUN_002651,
FUN_005182,
FUN_005213,2740-2741
FUN_016062,
FUN_007087,
FUN_007316,
FUN_008168,
FUN_011602,
FUN_011593,
FUN_000576,
FUN_002473,
FUN_009195,
FUN_009204,
FUN_000436,
FUN_011742,
FUN_002533,3162-3312
FUN_009344,
FUN_001859,
FUN_008028,
FUN_005353,
FUN_007256,
FUN_016122,
FUN_011841,
FUN_008139,
FUN_005242,
FUN_016033,
FUN_011950,
FUN_007347,
FUN_000527,1058-1060
FUN_002422,
FUN_009255,
FUN_001948,
FUN_001808,
FUN_000467,
FUN_011713,
FUN_011482,2548-2550
FUN_002562,
FUN_009084,
FUN_009315,
FUN_005093,
FUN_005302,"1-7,400-400"
FUN_007196,
FUN_007207,
FUN_011810,1-137
FUN_016173,
FUN_008079,
FUN_001968,
FUN_009275,
FUN_002402,"311-347,643-646"
FUN_002793,497-610
FUN_000507,
FUN_000696,
FUN_007367,1288-1290
FUN_000995,
FUN_011970,
FUN_016382,
FUN_016013,
FUN_005262,
FUN_002890,
FUN_008288,
FUN_008119,
FUN_008059,
FUN_016153,
FUN_011830,
FUN_007227,
FUN_005322,
FUN_009335,"263-265,525-527"
FUN_002542,
FUN_011733,
FUN_000447,
FUN_001828,
FUN_009224,
FUN_002453,
FUN_000556,220-343
FUN_011622,
FUN_001939,
FUN_008148,"84-86,233-235"
FUN_007336,
FUN_016042,
FUN_005233,
FUN_011861,
FUN_016293,
FUN_016102,
FUN_007276,
FUN_000884,
FUN_005373,"2106-2108,2528-2538"
FUN_002981,403-411
FUN_008399,
FUN_008008,3523-3525
FUN_001879,
FUN_009364,"95-95,149-149"
FUN_002513,
FUN_002682,
FUN_011762,
FUN_000416,
FUN_000787,
FUN_016320,
FUN_000937,
FUN_007054,
FUN_002832,
FUN_005151,421-429
FUN_001558,"642-676,1932-1934"
FUN_006338,
FUN_002731,
FUN_009146,
FUN_011540,
FUN_000634,
FUN_002671,
FUN_009006,
FUN_009397,
FUN_000774,
FUN_011791,
FUN_011400,
FUN_006278,
FUN_015398,
FUN_001789,
FUN_001418,
FUN_007114,
FUN_000877,
FUN_007285,
FUN_016260,
FUN_011892,
FUN_005011,1883-1885
FUN_002972,
FUN_005380,
FUN_001698,
FUN_001509,
FUN_016371,
FUN_011983,
FUN_007005,
FUN_000966,1-1
FUN_007394,
FUN_005100,
FUN_002863,
FUN_005291,
FUN_002760,
FUN_009117,
FUN_009286,313-314
FUN_011511,
FUN_000665,1573-1575
FUN_006369,
FUN_015289,
FUN_006229,
FUN_002620,
FUN_009057,264-266
FUN_000725,
FUN_011451,
FUN_000826,
FUN_007145,
FUN_016231,
FUN_002923,1388-1391
FUN_005040,
FUN_001449,
FUN_016136,
FUN_011855,
FUN_007242,193-193
FUN_005347,
FUN_009350,
FUN_002527,
FUN_011756,
FUN_000422,
FUN_003948,469-537
FUN_003808,
FUN_009181,
FUN_009210,1175-1175
FUN_002467,
FUN_000562,"1786-1793,1965-1967"
FUN_011616,
FUN_011587,
FUN_007093,
FUN_007302,
FUN_016076,
FUN_005196,
FUN_005207,
FUN_011804,
FUN_016167,
FUN_007182,
FUN_007213,
FUN_005087,
FUN_005316,"117-125,199-200"
FUN_003919,
FUN_009090,
FUN_009301,
FUN_002576,
FUN_011707,
FUN_011496,
FUN_000473,
FUN_009241,
FUN_002436,
FUN_000533,
FUN_003859,
FUN_007353,
FUN_016027,
FUN_011944,
FUN_005256,
FUN_002585,
FUN_002614,
FUN_009063,
FUN_000480,
FUN_000711,
FUN_011465,
FUN_004318,60-62
FUN_004089,
FUN_003578,
FUN_010498,
FUN_010709,
FUN_007171,
FUN_000812,
FUN_016205,
FUN_016194,
FUN_005074,
FUN_002917,
FUN_000952,
FUN_007031,2139-2144
FUN_002857,
FUN_005134,
FUN_003438,"225-251,894-899,913-918"
FUN_010649,
FUN_004258,
FUN_002754,
FUN_009123,181-183
FUN_011525,
FUN_000651,
FUN_004349,
FUN_002645,
FUN_009032,
FUN_000740,
FUN_011434,"4082-4084,4744-4744"
FUN_000843,
FUN_007120,
FUN_016254,2394-2516
FUN_002946,
FUN_005025,
FUN_003529,
FUN_010758,
FUN_003469,
FUN_010589,
FUN_010618,
FUN_016314,
FUN_016085,
FUN_007060,
FUN_000903,41-43
FUN_005165,
FUN_002806,
FUN_002494,
FUN_002705,
FUN_009172,"495-498,821-823,1704-1704"
FUN_011574,
FUN_000591,
FUN_000600,
FUN_004209,
FUN_004198,
FUN_005868,2942-2944
FUN_008882,
FUN_004796,
FUN_004407,
FUN_015773,
FUN_006693,
FUN_006502,
FUN_006990,
FUN_001362,
FUN_010016,
FUN_010387,"3200-3262,4301-4318,5086-5119"
FUN_004895,
FUN_003267,
FUN_012113,
FUN_012282,
FUN_015870,
FUN_008781,588-611
FUN_008410,
FUN_010156,
FUN_001222,
FUN_015930,
FUN_003327,
FUN_008550,
FUN_015633,
FUN_004547,
FUN_006442,
FUN_005928,
FUN_004456,
FUN_015722,
FUN_006553,
FUN_005839,1-10
FUN_001333,
FUN_010047,
FUN_003236,"1127-1132,1151-1159,1263-1289"
FUN_015821,
FUN_012142,
FUN_008441,
FUN_010107,
FUN_010296,
FUN_006881,
FUN_001273,
FUN_012002,
FUN_012393,
FUN_015961,
FUN_004984,
FUN_003376,821-844
FUN_008690,
FUN_008501,1-12
FUN_005979,
FUN_008993,
FUN_015662,
FUN_004687,
FUN_004516,
FUN_006782,1222-1224
FUN_006413,
FUN_010325,"255-257,440-442,922-930"
FUN_001051,
FUN_006932,"22-24,1391-1391"
FUN_008723,
FUN_012220,"47-47,265-265,528-533"
FUN_003154,
FUN_004837,
FUN_005458,
FUN_016629,
FUN_011049,
FUN_002238,
FUN_015440,
FUN_004734,
FUN_008820,777-777
FUN_006631,726-726
FUN_004674,
FUN_015500,
FUN_015691,
FUN_008960,
FUN_006771,
FUN_011298,2137-2138
FUN_011109,
FUN_002378,
FUN_005518,
FUN_005689,
FUN_016769,
FUN_001280,
FUN_006872,
FUN_001111,
FUN_010265,
FUN_008663,
FUN_003385,
FUN_004977,
FUN_003014,
FUN_015992,
FUN_012360,840-845
FUN_005409,1905-2030
FUN_005798,
FUN_016678,
FUN_010374,413-414
FUN_001391,
FUN_006963,
FUN_001000,
FUN_008772,
FUN_015883,
FUN_012271,
FUN_003294,82-84
FUN_004866,
FUN_003105,
FUN_015411,
FUN_015780,
FUN_004765,
FUN_008871,
FUN_006660,
FUN_011389,"14-19,23-28"
FUN_011018,110-118
FUN_002269,
FUN_011158,
FUN_002329,
FUN_004625,
FUN_015551,
FUN_008931,
FUN_006720,1206-1220
FUN_001140,
FUN_006823,
FUN_010234,
FUN_008632,
FUN_003045,
FUN_004926,
FUN_012331,
FUN_005549,
FUN_016738,
FUN_010133,784-787
FUN_001247,
FUN_015955,
FUN_003342,
FUN_008535,624-626
FUN_015656,
FUN_004522,
FUN_006427,
FUN_007848,1836-1850
FUN_009659,
FUN_007908,
FUN_009488,621-629
FUN_009719,
FUN_004462,
FUN_015487,
FUN_015716,
FUN_006567,
FUN_001307,246-263
FUN_001096,
FUN_010073,
FUN_003202,
FUN_003193,
FUN_012176,
FUN_015815,
FUN_008475,
FUN_010162,"1686-1691,1927-1932"
FUN_001216,
FUN_001187,
FUN_012067,
FUN_015904,360-478
FUN_003313,
FUN_003082,3162-3164
FUN_008564,
FUN_007819,425-545
FUN_009599,24-27
FUN_009608,
FUN_015596,
FUN_015607,
FUN_004573,
FUN_006476,
FUN_004433,
FUN_015747,
FUN_006536,
FUN_007959,
FUN_009748,
FUN_001356,
FUN_010022,49-51
FUN_003253,
FUN_015844,
FUN_012127,
FUN_008424,1694-1702
FUN_004611,"309-326,819-821"
FUN_004580,
FUN_015565,
FUN_008905,
FUN_006714,
FUN_006485,
FUN_000189,
FUN_000218,
FUN_007478,
FUN_006817,
FUN_001174,1546-1554
FUN_010191,
FUN_010200,
FUN_008606,
FUN_008597,
FUN_004912,
FUN_003071,
FUN_012094,
FUN_012305,
FUN_010340,
FUN_001034,
FUN_006957,
FUN_008746,1-1
FUN_012245,
FUN_003131,
FUN_004852,
FUN_007538,
FUN_000358,"27-34,196-198"
FUN_015425,
FUN_004751,
FUN_008845,
FUN_006654,
FUN_000249,
FUN_004640,2198-2271
FUN_015534,
FUN_008954,
FUN_006745,2541-2542
FUN_001125,
FUN_006846,
FUN_010251,1266-1267
FUN_008657,
FUN_003020,
FUN_004943,2069-2071
FUN_012354,
FUN_007429,404-412
FUN_007569,
FUN_010080,
FUN_010311,
FUN_006906,
FUN_001065,
FUN_008717,
FUN_008486,
FUN_012185,
FUN_012214,
FUN_004803,301-311
FUN_003160,
FUN_015474,
FUN_004700,
FUN_004491,"872-873,2225-2225"
FUN_008814,
FUN_006605,1090-1092
FUN_006594,
FUN_000098,
FUN_000309,
FUN_012204,
FUN_012195,
FUN_003170,
FUN_004813,
FUN_008496,
FUN_008707,
FUN_010301,
FUN_010090,
FUN_001075,
FUN_006916,
FUN_007579,
FUN_000319,
FUN_000088,
FUN_006584,
FUN_006615,
FUN_008804,
FUN_015464,
FUN_004481,"1686-1688,3442-3447,3506-3508,4017-4019"
FUN_004710,1469-1474
FUN_006755,"3070-3073,3373-3376"
FUN_008944,
FUN_004650,397-398
FUN_015524,
FUN_000259,1-3
FUN_007439,"750-750,3621-3629"
FUN_004953,1936-1938
FUN_003030,
FUN_012344,
FUN_008647,
FUN_006856,
FUN_001135,
FUN_010241,
FUN_007528,
FUN_012255,
FUN_004842,114-122
FUN_003121,
FUN_008756,
FUN_010350,
FUN_006947,
FUN_001024,
FUN_006644,
FUN_008855,
FUN_015435,
FUN_004741,
FUN_000348,
FUN_000208,
FUN_000199,
FUN_006495,
FUN_006704,
FUN_008915,
FUN_004590,"1113-1118,4683-4683"
FUN_004601,
FUN_015575,283-373
FUN_003061,
FUN_004902,
FUN_012315,
FUN_012084,
FUN_008587,
FUN_008616,3269-3271
FUN_001164,
FUN_006807,
FUN_010210,"356-367,660-660,2345-2358,2379-2387,2399-2404"
FUN_010181,
FUN_007468,
FUN_009758,
FUN_007949,948-1072
FUN_006526,
FUN_004423,
FUN_015757,
FUN_008434,
FUN_003243,
FUN_012137,
FUN_015854,
FUN_001346,
FUN_010032,
FUN_008574,
FUN_015914,278-284
FUN_012077,
FUN_003092,
FUN_003303,
FUN_010172,
FUN_001197,
FUN_001206,
FUN_006466,1280-1282
FUN_015617,
FUN_015586,
FUN_004563,
FUN_009618,
FUN_009589,
FUN_007809,
FUN_006577,"147-148,158-158,389-396"
FUN_004472,
FUN_015706,
FUN_015497,
FUN_009709,
FUN_009498,
FUN_007918,
FUN_008465,
FUN_003183,
FUN_003212,
FUN_015805,
FUN_012166,
FUN_001086,
FUN_001317,
FUN_010063,95-97
FUN_008525,
FUN_015945,
FUN_003352,
FUN_010123,
FUN_001257,
FUN_009649,1-4
FUN_007858,
FUN_006437,
FUN_015646,
FUN_004532,
FUN_006730,296-298
FUN_008921,
FUN_004635,
FUN_015541,
FUN_002339,
FUN_011148,1-115
FUN_016728,
FUN_005559,
FUN_004936,
FUN_003055,
FUN_012321,
FUN_008622,
FUN_006833,
FUN_001150,
FUN_010224,
FUN_012261,
FUN_015893,
FUN_003115,
FUN_004876,"2819-2943,4061-4081,12553-12555"
FUN_003284,"964-964,971-979,1358-1359"
FUN_008762,
FUN_010364,
FUN_001010,
FUN_006973,
FUN_001381,
FUN_016668,
FUN_005788,
FUN_005419,
FUN_002279,
FUN_011008,
FUN_011399,1-272
FUN_006670,1604-1608
FUN_015790,
FUN_015401,
FUN_004775,"100-100,622-625"
FUN_002368,
FUN_011119,
FUN_011288,
FUN_006761,
FUN_008970,1451-1492
FUN_004664,
FUN_015681,
FUN_015510,
FUN_003004,
FUN_004967,2294-2299
FUN_003395,
FUN_012370,4184-4186
FUN_015982,
FUN_008673,
FUN_001101,
FUN_006862,865-865
FUN_001290,
FUN_010275,1-3
FUN_016779,
FUN_005699,
FUN_005508,
FUN_016639,
FUN_005448,
FUN_012230,
FUN_004827,477-477
FUN_003144,"2126-2137,2301-2303,2756-2764"
FUN_008733,
FUN_010335,
FUN_006922,
FUN_001041,426-449
FUN_006621,
FUN_008830,
FUN_015450,95-142
FUN_004724,"1708-1752,2924-2947,3259-3264,3490-3498,3786-3806"
FUN_002228,
FUN_011059,792-842
FUN_008511,
FUN_008680,
