pos,C1C5v2_C3D7v2_KaKs,C1G11_C1C5v2_KaKs,C1G11_C3D7v2_KaKs,avg_KaKs
775,0.249301,0.0,0.127248,0.12551633333333334
781,0.242431,0.0,0.123771,0.12206733333333335
787,0.256152,0.0,0.131868,0.12934
793,,0.0,0.0,0.0
799,,0.0,0.0,0.0
805,,0.0,0.0,0.0
811,,0.0,0.0,0.0
817,,0.0,0.0,0.0
823,,0.0,0.0,0.0
829,,0.0,0.0,0.0
835,,0.0,0.0,0.0
841,,0.0,0.0,0.0
847,,0.0,0.0,0.0
853,,0.0,0.0,0.0
859,,0.0,0.0,0.0
865,,0.0,0.0,0.0
871,,0.0,0.0,0.0
877,,0.0,0.0,0.0
883,,0.0,0.0,0.0
889,,0.0,0.0,0.0
895,,0.0,0.0,0.0
901,,0.0,0.0,0.0
907,,0.1907,0.1907,0.1907
913,,0.124651,0.124651,0.124651
919,,0.125496,0.125496,0.125496
925,,0.144863,0.144863,0.144863
931,,0.206322,0.206322,0.206322
937,,0.189655,0.189655,0.189655
943,,0.202598,0.202598,0.202598
949,,0.193617,0.193617,0.193617
955,,0.204082,0.204082,0.204082
961,,0.206879,0.206879,0.206879
967,,0.217164,0.217164,0.217164
973,,0.2196,0.2196,0.2196
979,,0.458708,0.458708,0.458708
985,,0.428737,0.428737,0.428737
991,,0.429807,0.429807,0.429807
997,,0.445979,0.445979,0.445979
1003,,0.470788,0.470788,0.470788
1009,,0.445875,0.445875,0.445875
1015,,0.447099,0.447099,0.447099
1021,,0.0,0.0,0.0
1027,,0.0,0.0,0.0
1033,,0.0,0.0,0.0
1039,,0.0,0.0,0.0
1045,,0.0,0.0,0.0
1051,,0.0,0.0,0.0
1057,0.0,0.0,0.0,0.0
1063,0.0,0.0,0.0,0.0
1069,0.0,0.0,0.0,0.0
1075,0.0,0.0,0.0,0.0
1081,0.0,0.0,0.0,0.0
1087,0.0,0.0,0.0,0.0
1093,0.0,0.0,0.0,0.0
1099,0.0,0.0,0.0,0.0
1105,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0
1117,0.0,0.0,0.0,0.0
1123,0.0,0.0,0.0,0.0
1129,0.0,0.0,0.0,0.0
1135,0.0,,0.0,0.0
1141,0.0,,0.0,0.0
1147,0.0,,0.0,0.0
1153,0.0,0.0,0.0,0.0
1159,0.0,0.0,0.0,0.0
1165,0.0,0.0,0.0,0.0
1171,,0.0,0.0,0.0
1177,,0.0,0.0,0.0
1183,,0.0,0.0,0.0
1189,,0.0,0.0,0.0
1195,,0.364556,0.364556,0.364556
1201,,0.342139,0.342139,0.342139
1207,,0.354675,0.354675,0.354675
1213,,0.342495,0.342495,0.342495
1219,,0.286052,0.286052,0.286052
1225,,0.278657,0.278657,0.278657
1231,,0.280937,0.280937,0.280937
1237,,0.275832,0.275832,0.275832
1243,,0.284957,0.284957,0.284957
1249,,0.28423,0.28423,0.28423
1255,,0.159174,0.159174,0.159174
1261,,0.158511,0.158511,0.158511
1267,,0.351663,0.351663,0.351663
1273,,0.31989,0.31989,0.31989
1279,,0.34862,0.34862,0.34862
1285,,0.373562,0.373562,0.373562
1291,,0.387034,0.387034,0.387034
1297,,0.395322,0.395322,0.395322
1303,,0.351333,0.351333,0.351333
1309,,0.0,0.0,0.0
1315,,0.0,0.0,0.0
1321,,0.0,0.0,0.0
1327,,0.0,0.0,0.0
1333,,0.0,0.0,0.0
1339,,0.0,0.0,0.0
1345,,0.0,0.0,0.0
1351,,0.0,0.0,0.0
1357,,0.0,0.0,0.0
1363,,0.0,0.0,0.0
1369,,,,
1375,,,,
1381,,,,
1387,,,,
1393,,0.432356,0.432356,0.432356
1399,,0.421763,0.421763,0.421763
1405,,0.395918,0.395918,0.395918
1411,,0.348467,0.348467,0.348467
1417,,0.348326,0.348326,0.348326
1423,,0.354871,0.354871,0.354871
1429,,0.304361,0.304361,0.304361
1435,,0.333273,0.333273,0.333273
1441,,0.360495,0.360495,0.360495
1447,,0.387689,0.387689,0.387689
1453,,0.393447,0.393447,0.393447
1459,,0.379842,0.379842,0.379842
1465,,0.387979,0.387979,0.387979
1471,,0.394437,0.394437,0.394437
1477,,0.382651,0.382651,0.382651
1483,,0.382707,0.382707,0.382707
1489,,0.372518,0.372518,0.372518
1495,,0.0,0.0,0.0
1501,,0.0,0.0,0.0
1507,,,,
1513,,,,
1519,,,,
1525,0.0,0.0,0.0,0.0
1531,0.0,0.0,0.0,0.0
1537,0.0,0.0,0.0,0.0
1543,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,0.0
1555,0.0,0.0,0.0,0.0
1561,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1579,0.0,0.0,0.0,0.0
1585,0.0,0.0,0.0,0.0
1591,0.0,0.0,0.0,0.0
1597,0.0,0.0,0.0,0.0
1603,0.0,0.0,0.0,0.0
1609,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1621,0.0,0.0,0.0,0.0
1627,0.0,0.0,0.0,0.0
1633,0.0,0.0,0.0,0.0
1639,,0.0,0.0,0.0
1645,,,,
1651,,,,
1657,,,,
1663,,,,
1669,,,,
1675,,,,
1681,,,,
1687,,,,
1693,,,,
1699,,,,
1705,,,,
1711,,,,
1717,,,,
1723,,,,
1729,,,,
1735,,0.361612,0.361612,0.361612
1741,,0.326532,0.326532,0.326532
1747,,0.322805,0.322805,0.322805
1753,,0.338618,0.338618,0.338618
1759,,0.151394,0.151394,0.151394
1765,,0.0,0.0,0.0
1771,,0.0,0.0,0.0
1777,,0.0,0.0,0.0
1783,,0.0,0.0,0.0
1789,,0.0,0.0,0.0
1795,,0.0,0.0,0.0
1801,,0.0,0.0,0.0
1807,,0.0,0.0,0.0
1813,,0.0,0.0,0.0
1819,,0.0,0.0,0.0
1825,,0.0,0.0,0.0
1831,,0.0,0.0,0.0
1837,,0.0,0.0,0.0
1843,,0.0,0.0,0.0
1849,,0.0,0.0,0.0
1855,,0.0,0.0,0.0
1861,,0.0,0.0,0.0
1867,,0.0,0.0,0.0
1873,,0.0,0.0,0.0
1879,,0.0,0.0,0.0
1885,,0.0,0.0,0.0
1891,,0.0,0.0,0.0
1897,,0.0,0.0,0.0
1903,,0.0,0.0,0.0
1909,,0.0,0.0,0.0
1915,,0.0,0.0,0.0
1921,,0.164136,0.164136,0.164136
1927,,0.182165,0.182165,0.182165
1933,,0.760534,0.760534,0.760534
1939,,0.406101,0.406101,0.406101
1945,,0.38519,0.38519,0.38519
1951,0.0,0.418982,0.273504,0.23082866666666668
1957,0.0,0.843645,0.406912,0.4168523333333333
1963,0.0,0.813992,0.394664,0.4028853333333333
1969,0.0,0.848954,0.408618,0.41919066666666666
1975,0.0,0.832806,0.399735,0.410847
1981,0.0,0.920144,0.441618,0.45392066666666664
1987,0.0,0.941591,0.448605,0.4633986666666667
1993,0.0,0.910241,0.432937,0.447726
1999,0.0,0.854301,0.406663,0.4203213333333333
2005,0.0,0.903708,0.431831,0.4451796666666667
2011,0.0,0.841976,0.399295,0.413757
2017,0.0,0.834347,0.397628,0.4106583333333333
2023,0.0,0.417322,0.269103,0.22880833333333336
2029,0.0,0.421493,0.272574,0.23135566666666665
2035,0.0,0.187951,0.121971,0.10330733333333335
2041,0.0,0.205623,0.134066,0.11322966666666667
2047,0.0,0.0,0.0,0.0
2053,0.0,0.0,0.0,0.0
2059,0.0,0.0,0.0,0.0
2065,0.0,0.0,0.0,0.0
2071,0.0,0.0,0.0,0.0
2077,0.0,0.0,0.0,0.0
2083,0.0,0.386184,0.19503,0.193738
2089,0.0,0.375456,0.189037,0.18816433333333335
2095,0.0,0.372104,0.186959,0.18635433333333332
2101,0.0,0.354931,0.177619,0.17751666666666666
2107,0.0,0.379533,0.190265,0.18993266666666667
2113,0.0,0.403115,0.201094,0.201403
2119,0.0,0.35041,0.176505,0.17563833333333334
2125,0.0,0.351035,0.175573,0.175536
2131,0.0,0.375092,0.187807,0.18763300000000002
2137,0.0,,0.385824,0.192912
2143,0.0,,0.395112,0.197556
2149,0.0,,0.413076,0.206538
2155,0.0,,0.389,0.1945
2161,,,,
2167,,,,
2173,,,,
2179,,,,
2185,,,,
2191,,,,
2197,,,,
2203,,,,
2209,,,,
2215,,,,
2221,,,,
2227,,,,
2233,,,,
2239,,,,
2245,,,,
2251,,,,
2257,,1.42944,0.397124,0.913282
2263,,1.39449,0.384713,0.8896015
2269,,1.96263,0.396724,1.179677
2275,,1.59587,0.380756,0.988313
2281,,2.48383,0.420313,1.4520715000000002
2287,,1.39317,0.419311,0.9062405
2293,,2.27006,0.4224,1.34623
2299,0.433595,2.04827,0.219158,0.9003410000000001
2305,0.415712,1.53562,0.211364,0.7208986666666667
2311,0.441131,2.16872,0.222214,0.9440216666666666
2317,0.432227,1.93355,0.216472,0.8607496666666666
2323,0.429272,2.27076,0.211735,0.970589
2329,0.417605,4.44672,0.205571,1.6899653333333333
2335,0.418103,2.79705,0.208163,1.1411053333333332
2341,0.406738,2.95536,0.205328,1.1891420000000001
2347,0.370518,2.21912,0.188607,0.9260816666666668
2353,0.693908,0.691973,0.168575,0.518152
2359,1.07663,0.632248,0.344868,0.6845819999999999
2365,1.15321,0.609625,0.372773,0.7118693333333334
2371,0.785767,,0.785767,0.785767
2377,0.763638,,0.763638,0.763638
2383,0.802074,,0.802074,0.802074
2389,0.81668,,0.81668,0.81668
2395,0.797189,,0.797189,0.797189
2401,0.751534,,0.751534,0.751534
2407,0.705329,,0.705329,0.705329
2413,,,,
2419,,,,
2425,,,,
2431,,,,
2437,,,,
2443,,,,
2449,,,,
2455,,,,
2461,,,,
2467,,,,
2473,,,,
2479,,,,
2485,,,,
2491,,,,
2497,,,,
2503,,,,
2509,,,,
2515,,,,
2521,,,,
2527,,,,
2533,,,,
2539,,,,
2545,,,,
2551,,,,
2557,,,,
2563,,,,
2569,0.424255,0.0,,0.2121275
2575,0.203283,0.0,0.424569,0.209284
2581,0.225518,0.0,0.46885,0.231456
2587,0.205831,0.0,0.429632,0.211821
2593,0.0,0.0,0.0,0.0
2599,0.0,0.0,0.0,0.0
2605,0.0,0.0,0.0,0.0
2611,0.0,0.0,0.0,0.0
2617,0.0,0.0,0.0,0.0
2623,0.0,0.0,0.0,0.0
2629,0.0,0.0,0.0,0.0
2635,0.0,0.0,0.0,0.0
2641,0.0,0.0,0.0,0.0
2647,0.0,0.0,0.0,0.0
2653,0.0,0.0,0.0,0.0
2659,0.0,0.0,0.0,0.0
2665,0.0,0.0,0.0,0.0
2671,0.0,0.0,0.0,0.0
2677,0.0,0.0,0.0,0.0
2683,0.0,0.0,0.0,0.0
2689,0.0,0.0,,0.0
2695,0.0,0.0,,0.0
2701,0.0,0.0,,0.0
2707,0.0,0.0,,0.0
2713,0.0,0.0,,0.0
2719,0.0,0.0,,0.0
2725,0.0,0.0,,0.0
2731,0.0,0.0,,0.0
2737,0.390868,0.390868,,0.390868
2743,0.4169,0.4169,,0.4169
2749,0.407131,0.407131,,0.407131
2755,0.436306,0.436306,,0.436306
2761,0.420009,0.420009,,0.420009
2767,0.464944,0.464944,,0.464944
2773,0.487963,0.487963,,0.487963
2779,0.453191,0.457077,0.483501,0.4645896666666667
2785,0.415793,0.420465,0.445953,0.4274036666666667
2791,0.431531,0.437343,0.459806,0.4428933333333333
2797,0.916267,,0.454768,0.6855175
2803,0.794151,,0.394445,0.594298
2809,0.791301,,0.393944,0.5926225
2815,0.767103,,0.382686,0.5748945
2821,1.16142,,0.745998,0.9537089999999999
2827,1.10008,,0.705873,0.9029765
2833,1.11139,,0.70832,0.9098550000000001
2839,0.989094,,0.638533,0.8138135
2845,1.4,,0.67667,1.038335
2851,0.957206,0.962706,0.315437,0.7451163333333334
2857,1.07859,1.06631,0.350781,0.8318936666666666
2863,1.1516,1.14316,0.37178,0.8888466666666668
2869,1.23286,1.22934,0.395466,0.9525553333333333
2875,1.22386,1.21257,0.39028,0.9422366666666666
2881,1.11457,1.1179,0.358406,0.8636253333333334
2887,1.04529,1.05422,0.339108,0.8128726666666667
2893,,1.10254,0.356043,0.7292915
2899,,1.57801,0.762042,1.170026
2905,,1.41954,0.685454,1.052497
2911,,1.33568,0.64439,0.990035
2917,,1.25228,0.603121,0.9277005
2923,,1.63847,0.639589,1.1390295
2929,,1.7128,0.672614,1.192707
2935,,1.04748,0.349699,0.6985895
2941,,1.01057,0.332599,0.6715845
2947,,0.971223,0.31713,0.6441764999999999
2953,,0.998789,0.330077,0.664433
2959,0.300959,0.30783,0.309861,0.30621666666666664
2965,0.336865,0.682413,,0.5096390000000001
2971,0.312663,0.631382,,0.4720225
2977,0.304655,0.616576,,0.4606155
2983,0.299839,0.608086,,0.45396250000000005
2989,0.313267,0.635754,,0.47451050000000006
2995,0.643974,0.988695,,0.8163345
3001,1.13752,1.55864,,1.34808
3007,1.21802,1.66994,,1.44398
3013,1.26079,1.26079,,1.26079
3019,1.29699,1.29699,,1.29699
3025,1.29673,1.29673,,1.29673
3031,1.27563,1.27563,,1.27563
3037,0.860102,0.860102,,0.860102
3043,0.875987,0.875987,,0.875987
3049,0.779454,0.779454,,0.779454
3055,0.770647,0.770647,,0.770647
3061,0.780188,0.780188,,0.780188
3067,0.759168,0.759168,,0.759168
3073,,,,
3079,,,,
3085,,,,
3091,,,,
3097,,,,
3103,,,,
3109,,,,
3115,,,,
3121,,,,
3127,,,,
3133,,,,
3139,,,,
3145,,,,
3151,,,,
3157,,,,
3163,,,,
3169,0.404207,0.404207,,0.404207
3175,0.383011,0.417907,0.399443,0.40012033333333336
3181,0.367666,0.404801,0.387411,0.38662599999999997
3187,0.34332,0.38229,0.367058,0.36422266666666675
3193,0.222184,0.189053,0.38426,0.26516566666666663
3199,0.212886,0.180245,0.364627,0.252586
3205,0.376929,0.327021,0.331217,0.34505566666666665
3211,0.430072,0.354534,0.360839,0.381815
3217,0.468675,0.372946,0.381587,0.40773600000000004
3223,0.450598,0.344942,0.351142,0.3822273333333333
3229,0.411177,0.310045,0.314287,0.34516966666666665
3235,0.433617,0.316652,0.32629,0.35885300000000003
3241,0.456743,0.310786,0.322709,0.36341266666666666
3247,0.324854,0.196814,0.316604,0.279424
3253,0.295137,0.238964,0.180324,0.23814166666666667
3259,0.313384,0.23569,0.179149,0.242741
3265,0.133419,0.121506,0.187391,0.1474386666666667
3271,0.138109,0.126956,0.192411,0.152492
3277,0.117067,0.107797,0.163699,0.129521
3283,0.151867,0.16349,0.162366,0.159241
3289,0.0966018,0.152913,0.0,0.0831716
3295,0.0936919,0.148652,0.0,0.0807813
3301,0.100355,0.158464,0.0,0.086273
3307,0.140842,0.289822,0.0,0.1435546666666667
3313,0.155853,0.32026,0.0,0.15870433333333334
3319,0.0,0.0,0.0,0.0
3325,0.0,0.0,0.0,0.0
3331,0.0,0.0,0.0,0.0
3337,0.13734,0.275671,0.0,0.13767033333333334
3343,0.149201,0.2981,0.0,0.1491003333333333
3349,0.162987,0.325982,0.0,0.16298966666666667
3355,0.164028,0.329757,0.0,0.16459500000000002
3361,0.36376,,0.0,0.18188
3367,,,,
3373,,,,
3379,,,,
3385,,,,
3391,,,,
3397,,,,
3403,,,,
3409,,,,
3415,,,,
3421,,,,
3427,0.910839,0.910839,,0.910839
3433,0.909475,0.909475,,0.909475
3439,0.887209,0.887209,,0.887209
3445,0.863307,0.863307,,0.863307
3451,0.856042,0.43278,,0.644411
3457,0.829018,0.421061,,0.6250395
3463,0.788041,0.401518,,0.5947795
3469,0.802557,0.407828,,0.6051925
3475,0.816991,0.416124,,0.6165575
3481,0.377185,0.19182,,0.2845025
3487,0.36462,0.185261,,0.27494050000000003
3493,0.320657,0.162683,,0.24167
3499,0.113599,0.0,,0.0567995
3505,0.109623,0.0,,0.0548115
3511,0.11265,0.0,,0.056325
3517,0.111049,0.0,,0.0555245
3523,0.113906,0.118619,,0.11626249999999999
3529,0.107837,0.112266,,0.1100515
3535,0.110644,0.114793,,0.1127185
3541,0.171862,0.177354,,0.17460799999999999
3547,0.110939,0.114483,,0.112711
3553,0.110724,0.114387,,0.1125555
3559,0.109236,0.112438,,0.11083699999999999
3565,0.0,0.11425,,0.057125
3571,0.0,0.106564,,0.053282
3577,0.0,0.0954461,,0.04772305
3583,0.0,0.0928505,,0.04642525
3589,0.0,0.0946012,,0.0473006
3595,0.0,0.155054,,0.077527
3601,0.0,0.169448,,0.084724
3607,0.0,0.179447,,0.0897235
3613,0.0,0.35872,,0.17936
3619,0.0,0.356407,,0.1782035
3625,0.0,0.743128,,0.371564
3631,0.0,0.776234,0.808564,0.528266
3637,0.0,0.401229,0.414852,0.272027
3643,0.0,0.414703,0.431653,0.2821186666666667
3649,0.0,0.395982,0.409083,0.26835499999999995
3655,0.0,0.392096,0.403268,0.2651213333333333
3661,0.0,,0.41692,0.20846
3667,0.0,,0.415294,0.207647
3673,0.0,,0.396777,0.1983885
3679,0.0,,0.433837,0.2169185
3685,0.0,,0.380902,0.190451
3691,0.0,,0.185471,0.0927355
3697,0.0,,0.188464,0.094232
3703,0.0,,0.181285,0.0906425
3709,0.0,,0.182764,0.091382
3715,0.0,,0.187137,0.0935685
3721,0.0,,0.174558,0.087279
3727,0.0,,0.165774,0.082887
3733,0.0,,0.16122,0.08061
3739,0.0,,0.0,0.0
3745,0.0,,0.0,0.0
3751,0.0,,0.0,0.0
3757,0.340437,,0.0,0.1702185
3763,0.368593,,0.0,0.1842965
3769,0.380503,0.741507,0.0,0.3740033333333333
3775,0.600923,1.18692,0.0,0.5959476666666667
3781,0.579888,1.12854,0.0,0.569476
3787,0.595561,1.15945,0.0,0.5850036666666667
3793,0.582762,1.12427,0.0,0.5690106666666667
3799,0.83307,1.64365,0.0,0.8255733333333334
3805,1.84367,1.84367,,1.84367
3811,1.71293,1.71293,,1.71293
3817,1.70933,1.70933,,1.70933
3823,1.72415,1.72415,,1.72415
3829,2.07604,2.07604,,2.07604
3835,2.03316,2.03316,,2.03316
3841,2.07138,2.07138,,2.07138
3847,2.09484,2.09484,,2.09484
3853,1.90436,1.90436,,1.90436
3859,1.60605,1.60605,,1.60605
3865,1.63025,1.63025,,1.63025
3871,1.39922,1.39922,,1.39922
3877,1.37001,1.37001,,1.37001
3883,,,,
3889,0.53851,0.53851,,0.53851
3895,0.585541,0.585541,,0.585541
3901,0.602505,0.602505,,0.602505
3907,0.630636,0.630636,,0.630636
3913,0.139355,0.139355,,0.139355
3919,0.138334,0.138334,,0.138334
3925,0.136886,0.136886,,0.136886
3931,0.127161,0.127161,,0.127161
3937,0.127672,0.127672,,0.127672
3943,0.0,0.0,0.0,0.0
3949,0.0,0.0,0.0,0.0
3955,0.0,0.0,0.0,0.0
3961,0.0,0.0,0.0,0.0
3967,0.0,0.0,0.0,0.0
3973,0.0,0.0,0.0,0.0
3979,0.0,0.0,0.0,0.0
3985,0.0,0.0,0.0,0.0
3991,0.0,0.110333,0.350909,0.15374733333333335
3997,0.0,0.104014,0.328731,0.14424833333333334
4003,0.0,0.0983241,0.152334,0.0835527
4009,0.0,0.0984152,0.153137,0.08385073333333333
4015,0.0,0.0996867,0.154636,0.08477423333333334
4021,0.0,0.0705138,0.0979202,0.05614466666666667
4027,,0.100128,0.100128,0.100128
4033,,0.106519,0.106519,0.106519
4039,,0.109854,0.109854,0.109854
4045,,0.0764041,0.0764041,0.0764041
4051,,0.159057,0.159057,0.159057
4057,,0.224387,0.224387,0.224387
4063,,0.221271,0.221271,0.221271
4069,,0.222595,0.222595,0.222595
4075,,0.219637,0.219637,0.219637
4081,,0.221416,0.221416,0.221416
4087,,0.227511,0.227511,0.227511
4093,,0.265529,0.265529,0.265529
4099,,0.354446,0.354446,0.354446
4105,,0.277116,0.277116,0.277116
4111,,0.376196,0.376196,0.376196
4117,,0.589979,0.589979,0.589979
4123,,0.57114,0.57114,0.57114
4129,,0.431984,0.431984,0.431984
4135,,0.610389,0.610389,0.610389
4141,,0.57132,0.57132,0.57132
4147,,0.607893,0.607893,0.607893
4153,,0.694959,0.694959,0.694959
4159,,1.30035,1.28052,1.290435
4165,,1.03589,1.18473,1.1103100000000001
4171,,1.02746,1.10994,1.0687
4177,,1.02232,1.09969,1.061005
4183,,1.81421,1.39253,1.60337
4189,,2.37542,1.88453,2.129975
4195,,1.37615,1.12808,1.2521149999999999
4201,,1.24173,1.0188,1.130265
4207,,1.56513,1.31275,1.43894
4213,,0.980682,0.963091,0.9718865000000001
4219,,1.04247,1.02386,1.033165
4225,,0.751068,0.747441,0.7492544999999999
4231,,0.757522,0.755936,0.756729
4237,,0.725943,0.723547,0.724745
4243,,1.16759,1.17044,1.169015
4249,,1.26031,1.26521,1.26276
4255,,1.16406,1.1687,1.1663800000000002
4261,,1.08043,1.09127,1.08585
4267,,1.01703,1.28108,1.1490550000000002
4273,,0.699825,0.930192,0.8150085
4279,,0.732368,0.974166,0.853267
4285,0.462502,0.771871,0.703534,0.645969
4291,0.393621,0.655822,0.565268,0.5382370000000001
4297,0.381523,0.406714,0.358601,0.38227933333333336
4303,0.387332,0.201589,0.239046,0.275989
4309,0.372925,0.785762,0.580389,0.579692
4315,0.350297,0.693205,0.49956,0.514354
4321,0.383269,0.766799,0.549399,0.566489
4327,0.337703,0.677745,0.489902,0.5017833333333334
4333,0.351424,0.700795,0.510414,0.5208776666666667
4339,0.366692,0.732104,0.533446,0.5440806666666668
4345,0.365366,0.727055,0.525054,0.5391583333333334
4351,0.383719,1.53331,0.908416,0.941815
4357,0.365761,1.46151,0.864906,0.8973923333333333
4363,0.338397,1.35104,0.796656,0.8286976666666668
4369,0.342756,1.38323,0.808775,0.8449203333333334
4375,0.344557,1.38848,0.812522,0.8485196666666667
4381,0.0,1.3252,0.619051,0.6480836666666666
4387,0.0,1.31581,0.619233,0.6450143333333332
4393,0.367113,0.753893,0.664336,0.595114
4399,,0.926631,1.27476,1.1006955
4405,,0.9726,1.36602,1.16931
4411,,0.86667,1.31262,1.089645
4417,,1.07725,1.37186,1.224555
4423,,0.841893,1.11931,0.9806015
4429,,1.4619,2.61095,2.036425
4435,,1.45826,2.91127,2.184765
4441,,1.4501,2.76389,2.106995
4447,,1.45746,2.98203,2.219745
4453,,1.3629,2.74414,2.05352
4459,,1.35743,2.71591,2.03667
4465,,0.660283,0.984459,0.822371
4471,,0.644268,0.962183,0.8032254999999999
4477,,0.693281,1.0375,0.8653905000000001
4483,,0.664962,0.999005,0.8319835
4489,,0.678759,1.01748,0.8481194999999999
4495,,0.697829,1.0442,0.8710145
4501,,0.664299,0.992609,0.828454
4507,,,,
4513,,,,
4519,,,,
4525,,,,
4531,,,,
4537,,0.620853,0.620853,0.620853
4543,,0.613964,0.613964,0.613964
4549,,0.655167,0.655167,0.655167
4555,,0.58413,0.58413,0.58413
4561,,0.504113,0.504113,0.504113
4567,,0.569673,0.569673,0.569673
4573,,0.524041,0.784891,0.654466
4579,,0.62979,0.846488,0.738139
4585,,0.65273,0.879273,0.7660015
4591,,0.637883,0.857784,0.7478335
4597,,0.701114,0.942494,0.821804
4603,,0.313027,0.420319,0.366673
4609,,0.32524,0.438887,0.3820635
4615,,0.2967,0.403011,0.3498555
4621,,0.262601,0.357942,0.3102715
4627,,0.169198,0.26266,0.21592899999999998
4633,,0.214024,0.333986,0.274005
4639,,0.224262,0.349537,0.2868995
4645,,0.111061,0.230486,0.1707735
4651,,0.255561,0.532509,0.394035
4657,,0.251192,0.524373,0.38778250000000003
4663,,0.271491,0.568644,0.42006750000000004
4669,,0.305086,0.639058,0.47207200000000005
